2024-06-20 18:41:06,033 INFO    StreamThr :9336 [internal.py:wandb_internal():86] W&B internal server running at pid: 9336, started at: 2024-06-20 18:41:06.032237
2024-06-20 18:41:06,034 DEBUG   HandlerThread:9336 [handler.py:handle_request():146] handle_request: status
2024-06-20 18:41:06,036 INFO    WriterThread:9336 [datastore.py:open_for_write():85] open: C:\Users\Mateo-drr\Documents\SSD\ALU---Autonomous-Lung-Ultrasound\gym\wandb\run-20240620_184106-iju5tj3f\run-iju5tj3f.wandb
2024-06-20 18:41:06,037 DEBUG   SenderThread:9336 [sender.py:send():382] send: header
2024-06-20 18:41:06,070 DEBUG   SenderThread:9336 [sender.py:send():382] send: run
2024-06-20 18:41:06,619 INFO    SenderThread:9336 [dir_watcher.py:__init__():211] watching files in: C:\Users\Mateo-drr\Documents\SSD\ALU---Autonomous-Lung-Ultrasound\gym\wandb\run-20240620_184106-iju5tj3f\files
2024-06-20 18:41:06,619 INFO    SenderThread:9336 [sender.py:_start_run_threads():1136] run started: iju5tj3f with start time 1718901666.034237
2024-06-20 18:41:06,625 DEBUG   HandlerThread:9336 [handler.py:handle_request():146] handle_request: check_version
2024-06-20 18:41:06,625 DEBUG   SenderThread:9336 [sender.py:send_request():409] send_request: check_version
2024-06-20 18:41:06,932 DEBUG   HandlerThread:9336 [handler.py:handle_request():146] handle_request: run_start
2024-06-20 18:41:06,956 DEBUG   HandlerThread:9336 [system_info.py:__init__():32] System info init
2024-06-20 18:41:06,956 DEBUG   HandlerThread:9336 [system_info.py:__init__():47] System info init done
2024-06-20 18:41:06,956 INFO    HandlerThread:9336 [system_monitor.py:start():194] Starting system monitor
2024-06-20 18:41:06,956 INFO    SystemMonitor:9336 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-06-20 18:41:06,956 INFO    HandlerThread:9336 [system_monitor.py:probe():214] Collecting system info
2024-06-20 18:41:06,958 INFO    SystemMonitor:9336 [interfaces.py:start():190] Started cpu monitoring
2024-06-20 18:41:06,958 INFO    SystemMonitor:9336 [interfaces.py:start():190] Started disk monitoring
2024-06-20 18:41:06,958 INFO    SystemMonitor:9336 [interfaces.py:start():190] Started gpu monitoring
2024-06-20 18:41:06,961 INFO    SystemMonitor:9336 [interfaces.py:start():190] Started memory monitoring
2024-06-20 18:41:06,967 INFO    SystemMonitor:9336 [interfaces.py:start():190] Started network monitoring
2024-06-20 18:41:06,969 DEBUG   HandlerThread:9336 [system_info.py:probe():196] Probing system
2024-06-20 18:41:06,970 DEBUG   HandlerThread:9336 [system_info.py:_probe_git():181] Probing git
2024-06-20 18:41:07,020 DEBUG   HandlerThread:9336 [system_info.py:_probe_git():189] Probing git done
2024-06-20 18:41:07,020 DEBUG   HandlerThread:9336 [system_info.py:probe():244] Probing system done
